LATITUDE;LONGITUDE;CIDADE;ÂNGULO;MWH
-22,4803709;-48,56096;Barra Bonita;165,000;24,79527595
-22,4803709;-48,56096;Barra Bonita;170,000;24,75914093
-22,4803709;-48,56096;Barra Bonita;175,000;24,74297527
-22,4803709;-48,56096;Barra Bonita;180,000;24,74677896
-1,3413479;-48,59081;Belem;0,000;29,82
-1,3413479;-48,59081;Belem;5,000;29,82375946
-1,3413479;-48,59081;Belem;5,000;29,82375946
-1,3413479;-48,59081;Belem;15,000;29,81812027
-1,3413479;-48,59081;Belem;20,000;29,80684191
-1,3413479;-48,59081;Belem;25,000;29,78992436
-1,3413479;-48,59081;Belem;30,000;29,76830749
-1,3413479;-48,59081;Belem;35,000;29,74293116
-1,3413479;-48,59081;Belem;40,000;29,71473525
-1,3413479;-48,59081;Belem;45,000;29,68184002
-1,3413479;-48,59081;Belem;50,000;29,64518533
-1,3413479;-48,59081;Belem;55,000;29,60477118
-1,3413479;-48,59081;Belem;60,000;29,56341717
-1,3413479;-48,59081;Belem;65,000;29,52300303
-1,3413479;-48,59081;Belem;70,000;29,48634834
-1,3413479;-48,59081;Belem;75,000;29,4534531
-1,3413479;-48,59081;Belem;80,000;29,42149773
-1,3413479;-48,59081;Belem;85,000;29,3886025
-1,3413479;-48,59081;Belem;90,000;29,35288767
-1,3413479;-48,59081;Belem;95,000;29,31529312
-1,3413479;-48,59081;Belem;100,000;29,27581884
-1,3413479;-48,59081;Belem;105,000;29,23728442
-1,3413479;-48,59081;Belem;110,000;29,19781014
-1,3413479;-48,59081;Belem;115,000;29,15927572
-1,3413479;-48,59081;Belem;120,000;29,1207413
-1,3413479;-48,59081;Belem;125,000;29,08408661
-1,3413479;-48,59081;Belem;130,000;29,04743192
-1,3413479;-48,59081;Belem;135,000;29,0117171
-1,3413479;-48,59081;Belem;140,000;28,97694213
-1,3413479;-48,59081;Belem;145,000;28,94498676
-1,3413479;-48,59081;Belem;150,000;28,91679085
-1,3413479;-48,59081;Belem;155,000;28,89423411
-1,3413479;-48,59081;Belem;160,000;28,87919629
-1,3413479;-48,59081;Belem;165,000;28,86979766
-1,3413479;-48,59081;Belem;170,000;28,86321861
-1,3413479;-48,59081;Belem;175,000;28,85757943
