LAT_LON;CIDADE;ÂNGULO;FATOR
-3,2081547,-52,2086;Altamira;0;1,0
-3,2081547,-52,2086;Altamira;5;0,9990295345000485
-3,2081547,-52,2086;Altamira;10;0,99780027820011
-3,2081547,-52,2086;Altamira;15;0,9963769288001811
-3,2081547,-52,2086;Altamira;20;0,9947918351502604
-3,2081547,-52,2086;Altamira;25;0,9930449972503478
-3,2081547,-52,2086;Altamira;30;0,9911364151004431
-3,2081547,-52,2086;Altamira;35;0,9890660887005467
-3,2081547,-52,2086;Altamira;40;0,9867693203506616
-3,2081547,-52,2086;Altamira;45;0,9844725520007763
-3,2081547,-52,2086;Altamira;50;0,9822728302008864
-3,2081547,-52,2086;Altamira;55;0,9802672015009867
-3,2081547,-52,2086;Altamira;60;0,9784880147510756
-3,2081547,-52,2086;Altamira;65;0,9767411768511629
-3,2081547,-52,2086;Altamira;70;0,9748972924012551
-3,2081547,-52,2086;Altamira;75;0,973021059101349
-3,2081547,-52,2086;Altamira;80;0,9710477792514476
-3,2081547,-52,2086;Altamira;85;0,9690744994015463
-3,2081547,-52,2086;Altamira;90;0,967101219551645
-3,2081547,-52,2086;Altamira;95;0,9650955908517452
-3,2081547,-52,2086;Altamira;100;0,9631546598518422
-3,2081547,-52,2086;Altamira;105;0,9613107754019344
-3,2081547,-52,2086;Altamira;110;0,9595315886520234
-3,2081547,-52,2086;Altamira;115;0,9579464950021027
-3,2081547,-52,2086;Altamira;120;0,9564907967521754
-3,2081547,-52,2086;Altamira;125;0,9551968427522401
-3,2081547,-52,2086;Altamira;130;0,9539675864523016
-3,2081547,-52,2086;Altamira;135;0,952900074402355
-3,2081547,-52,2086;Altamira;140;0,9519943066024003
-3,2081547,-52,2086;Altamira;145;0,9512502830524375
-3,2081547,-52,2086;Altamira;150;0,950700352602465
-3,2081547,-52,2086;Altamira;155;0,9503121664024844
-3,2081547,-52,2086;Altamira;160;0,9501504221524925
-3,2081547,-52,2086;Altamira;165;0,9501827710024908
-3,2081547,-52,2086;Altamira;170;0,9504092129524795
-3,2081547,-52,2086;Altamira;175;0,9508944457024553
